-0.005979	0.018226	0.012623	-0.112086	-0.128605	-0.019468	-0.022243	-0.116135
-0.012389	0.036784	-0.020101	-0.005433	-0.216084	-0.123930	-0.035234	-0.231521
-0.061057	-0.021337	0.074249	0.032831	-0.287929	-0.033407	-0.057777	0.043986
-0.008471	-0.029285	-0.040747	-0.047647	-0.012328	-0.156138	-0.028798	-0.122976
-0.000029	0.011650	-0.055755	-0.059897	-0.242051	0.014228	0.017986	0.020483
-0.065176	-0.020899	-0.007694	-0.100351	-0.028343	0.110275	-0.097044	0.071721
-0.000289	-0.016332	0.058343	-0.026049	0.082592	-0.139374	-0.066516	0.055433
-0.020821	-0.020368	0.045379	-0.069372	-0.098133	0.038116	-0.067384	0.172899
-0.043611	-0.019984	0.052816	-0.044641	-0.248779	-0.146683	-0.066312	-0.259906
-0.011274	0.035679	-0.080600	-0.108324	-0.122085	0.033064	0.057897	0.109950
