-0.077487	0.201116	0.300220	-0.983949	-0.574737	-0.013265	-0.225846	-0.666192	-0.082452	0.189087	0.315538	-0.998853	-0.543122	-0.053913	-0.803534	-0.399127	0.106745	0.237414	0.729390	-0.792196	-0.479610	-0.111412	-0.733047	-0.487378
-0.160041	0.406366	-0.158977	-0.010056	-0.846485	-0.847532	-0.042237	-1.946217	-0.165006	0.394338	-0.143659	-0.024959	-0.814869	-0.888180	-0.619926	-1.679151	0.024191	0.442665	0.270194	0.181698	-0.751358	-0.945679	-0.549438	-1.767402
-0.731462	-0.138176	0.667611	0.320859	-1.356295	0.163014	-0.194255	0.106989	-0.736427	-0.150205	0.682929	0.305955	-1.324680	0.122365	-0.771944	0.374054	-0.547230	-0.101878	1.096782	0.512612	-1.261168	0.064867	-0.701456	0.285803
-0.061255	-0.299096	-0.272248	-0.336083	-0.121824	-0.975115	-0.421497	-0.798488	-0.066220	-0.311125	-0.256930	-0.350987	-0.090209	-1.015764	-0.999186	-0.531423	0.122977	-0.262797	0.156922	-0.144330	-0.026697	-1.073263	-0.928698	-0.619674
-0.006277	0.123623	-0.374350	-0.423349	-1.236740	0.515396	0.485027	0.194779	-0.011242	0.111594	-0.359032	-0.438253	-1.205125	0.474747	-0.092662	0.461844	0.177955	0.159921	0.054821	-0.231596	-1.141613	0.417249	-0.022174	0.373593
-0.794468	-0.120374	0.113818	-0.827219	-0.224973	0.752411	-0.808960	0.090234	-0.799433	-0.132403	0.129136	-0.842122	-0.193358	0.711763	-1.386649	0.357299	-0.610236	-0.084076	0.542989	-0.635465	-0.129846	0.654264	-1.316161	0.269048
0.014318	-0.165054	0.498838	-0.200471	0.216595	-0.726755	-0.633380	0.029496	0.009353	-0.177083	0.514156	-0.215375	0.248211	-0.767404	-1.211069	0.296561	0.198550	-0.128756	0.928009	-0.008717	0.311723	-0.824902	-1.140581	0.208310
-0.218160	-0.196121	0.437752	-0.577811	-0.505796	0.392699	-0.102451	0.853117	-0.223125	-0.208150	0.453070	-0.592715	-0.474181	0.352051	-0.680139	1.120182	-0.033928	-0.159823	0.866922	-0.386058	-0.410669	0.294552	-0.609652	1.031931
-0.493573	-0.154408	0.466026	-0.359296	-0.986460	-1.064825	-0.868301	-1.777618	-0.498538	-0.166437	0.481344	-0.374200	-0.954845	-1.105474	-1.445990	-1.510553	-0.309341	-0.118110	0.895197	-0.167542	-0.891333	-1.162972	-1.375503	-1.598804
-0.148522	0.384375	-0.446432	-0.812209	-0.656244	0.441394	0.807215	0.776846	-0.153487	0.372346	-0.431114	-0.827113	-0.624629	0.400745	0.229526	1.043911	0.035710	0.420674	-0.017262	-0.620455	-0.561117	0.343247	0.300013	0.955660
